No,Tube_No,Species_one,Species_two,Block,Location,Treatment,Planting_date,Surv_final,sp1_Abovgd_mass,Community_root_mass,sp1_Total_Mass,Comm_RMF,No_of_Plants,"Control, Intra, Inter",Species_two,sp2_Abovgd_mass,sp2_Total_Mass
424,96,Poa secunda,none,one,I16,Control,8/12/2016,0,,,,,1,Con,None,,
34,99,Achillea millefolium,none,one,I19,Control,7/27/2016,0,,,,,1,Con,None,,
35,106,Machaeranthera canescens,none,two,A06,Control,7/27/2016,0,,,,,1,Con,None,,
167,108,Poa secunda,none,two,A08,Control,8/2/2016,0,,,,,1,Con,None,,
40,113,Linum perenne,none,two,A13,Control,7/27/2016,1,,,,,1,Con,None,,
266,116,Pascopyrum smithii,none,two,A16,Control,8/10/2016,0,,,,,1,Con,None,,
41,117,Achillea millefolium,none,two,A17,Control,7/27/2016,0,,,,,1,Con,None,,
267,119,Elymus trachycaulus,none,two,A19,Control,8/10/2016,0,,,,,1,Con,None,,
597,120,Helianthus annuus,none,two,A20,Control,,,,,,,,,None,,
47,134,Linum lewisii,none,two,C14,Control,7/27/2016,0,,,,,1,Con,None,,
55,145,Machaeranthera canescens,none,two,E05,Control,7/27/2016,0,,,,,1,Con,None,,
272,156,Elymus trachycaulus,none,two,E16,Control,8/10/2016,0,,,,,1,Con,None,,
273,165,Pascopyrum smithii,none,two,G05,Control,8/10/2016,0,,,,,1,Con,None,,
65,174,Linum lewisii,none,two,G14,Control,7/27/2016,0,,,,,1,Con,None,,
425,177,Poa secunda,none,two,G17,Control,8/21/2016,0,,,,,1,Con,None,,
172,185,Machaeranthera canescens,none,two,I05,Control,8/2/2016,0,,,,,1,Con,None,,
69,187,Linum lewisii,none,two,I07,Control,7/27/2016,0,,,,,1,Con,None,,
72,193,Linum perenne,none,two,I13,Control,7/27/2016,0,,,,,1,Con,None,,
74,208,Achillea millefolium,none,three,A08,Control,7/27/2016,0,,,,,1,Con,None,,
478,232,Machaeranthera canescens,none,three,C12,Control,8/31/2016,0,,,,,1,Con,None,,
479,232,Machaeranthera canescens,none,three,C12,Control,8/31/2016,0,,,,,1,Con,None,,
80,238,Linum lewisii,none,three,C18,Control,7/27/2016,0,,,,,1,Con,None,,
81,241,Linum perenne,none,three,E01,Control,7/27/2016,0,,,,,1,Con,None,,
82,242,Achillea millefolium,none,three,E02,Control,7/27/2016,0,,,,,1,Con,None,,
481,245,Poa secunda,none,three,E05,Control,8/31/2016,0,,,,,1,Con,None,,
83,249,Achillea millefolium,none,three,E09,Control,7/27/2016,0,,,,,1,Con,None,,
181,276,Poa secunda,none,three,G16,Control,8/2/2016,0,,,,,1,Con,None,,
103,299,Linum lewisii,none,three,I19,Control,7/27/2016,0,,,,,1,Con,None,,
182,301,Poa secunda,none,four,A01,Control,8/2/2016,0,,,,,1,Con,None,,
664,302,Machaeranthera canescens,none,four,A02,Control,,,,,,,,,None,,
183,308,Poa secunda,none,four,A08,Control,8/2/2016,0,,,,,1,Con,None,,
184,311,Poa secunda,none,four,A11,Control,8/2/2016,0,,,,,1,Con,None,,
106,319,Sporobolus airoides,none,four,A19,Control,7/27/2016,0,,,,,1,Con,None,,
291,321,Pascopyrum smithii,none,four,C01,Control,8/10/2016,0,,,,,1,Con,None,,
294,332,Pascopyrum smithii,none,four,C12,Control,8/10/2016,0,,,,,1,Con,None,,
297,341,Elymus trachycaulus,none,four,E01,Control,8/10/2016,0,,,,,1,Con,None,,
454,343,Helianthus annuus,none,four,E03,Control,8/25/2016,0,,,,,1,Con,None,,
195,346,Linum lewisii,none,four,E06,Control,8/2/2016,0,,,,,1,Con,None,,
111,353,Sporobolus airoides,none,four,E13,Control,7/27/2016,0,,,,,1,Con,None,,
112,356,Linum perenne,none,four,E16,Control,7/27/2016,0,,,,,1,Con,None,,
302,372,Elymus trachycaulus,none,four,G12,Control,8/10/2016,0,,,,,1,Con,None,,
120,392,Achillea millefolium,none,four,I12,Control,7/27/2016,0,,,,,1,Con,None,,
123,395,Achillea millefolium,none,four,I15,Control,7/27/2016,0,,,,,1,Con,None,,
510,397,Machaeranthera canescens,none,four,I17,Control,8/31/2016,0,,,,,1,Con,None,,
124,399,Linum perenne,none,four,I19,Control,7/27/2016,0,,,,,1,Con,None,,
199,401,Machaeranthera canescens,none,five,A01,Control,8/2/2016,0,,,,,1,Con,None,,
125,403,Sporobolus airoides,none,five,A03,Control,7/27/2016,0,,,,,1,Con,None,,
305,404,Pascopyrum smithii,none,five,A04,Control,8/10/2016,0,,,,,1,Con,None,,
128,410,Linum perenne,none,five,A10,Control,7/27/2016,0,,,,,1,Con,None,,
202,412,Linum lewisii,none,five,A12,Control,8/2/2016,0,,,,,1,Con,None,,
721,417,Helianthus annuus,none,five,A17,Control,,,,,,,,,None,,
308,421,Elymus trachycaulus,none,five,C01,Control,8/10/2016,0,,,,,1,Con,None,,
133,427,Sporobolus airoides,none,five,C07,Control,7/27/2016,0,,,,,1,Con,None,,
736,436,Elymus trachycaulus,none,five,C16,Control,,,,,,,1,Con,None,,
739,438,Helianthus annuus,none,five,C18,Control,,,,,,,1,Con,None,,
209,440,Machaeranthera canescens,none,five,C20,Control,8/2/2016,0,,,,,1,Con,None,,
210,444,Poa secunda,none,five,E04,Control,8/2/2016,0,,,,,1,Con,None,,
138,447,Linum perenne,none,five,E07,Control,7/27/2016,0,,,,,1,Con,None,,
742,449,Sporobolus airoides,none,five,E09,Control,,,,,,,,,None,,
139,450,Achillea millefolium,none,five,E10,Control,7/27/2016,0,,,,,1,Con,None,,
311,455,Pascopyrum smithii,none,five,E15,Control,8/10/2016,0,,,,,1,Con,None,,
211,456,Linum lewisii,none,five,E16,Control,8/2/2016,0,,,,,1,Con,None,,
143,457,Linum perenne,none,five,E17,Control,7/27/2016,0,,,,,1,Con,None,,
312,472,Pascopyrum smithii,none,five,G12,Control,8/10/2016,0,,,,,1,Con,None,,
220,476,Linum lewisii,none,five,G16,Control,8/2/2016,0,,,,,1,Con,None,,
221,478,Poa secunda,none,five,G18,Control,8/2/2016,0,,,,,1,Con,None,,
222,487,Machaeranthera canescens,none,five,I07,Control,8/2/2016,0,,,,,1,Con,None,,
317,488,Elymus trachycaulus,none,five,I08,Control,8/10/2016,0,,,,,1,Con,None,,
228,502,Achillea millefolium,none,six,A02,Control,8/2/2016,0,,,,,1,Con,None,,
323,513,Elymus trachycaulus,none,six,A13,Control,8/10/2016,0,,,,,1,Con,None,,
151,514,Linum perenne,none,six,A14,Control,7/27/2016,0,,,,,1,Con,None,,
326,520,Pascopyrum smithii,none,six,A20,Control,8/10/2016,0,,,,,1,Con,None,,
233,524,Machaeranthera canescens,none,six,C04,Control,8/2/2016,0,,,,,1,Con,None,,
327,526,Elymus trachycaulus,none,six,C06,Control,8/10/2016,0,,,,,1,Con,None,,
234,527,Machaeranthera canescens,none,six,C07,Control,8/2/2016,0,,,,,1,Con,None,,
237,534,Achillea millefolium,none,six,C14,Control,8/2/2016,0,,,,,1,Con,None,,
156,537,Sporobolus airoides,none,six,C17,Control,7/27/2016,0,,,,,1,Con,None,,
328,541,Pascopyrum smithii,none,six,E01,Control,8/10/2016,0,,,,,1,Con,None,,
796,547,Helianthus annuus,none,six,E07,Control,,,,,,,,,None,,
238,568,Poa secunda,none,six,G08,Control,8/2/2016,0,,,,,1,Con,None,,
829,583,Helianthus annuus,none,six,I03,Control,,,,,,,,,None,,
241,584,Poa secunda,none,six,I04,Control,8/2/2016,0,,,,,1,Con,None,,
245,589,Linum lewisii,none,six,I09,Control,8/2/2016,0,,,,,1,Con,None,,
343,600,Elymus trachycaulus,none,six,I20,Control,8/10/2016,0,,,,,1,Con,None,,
344,3,Linum perenne,sp1,one,A03,Grass_comp,8/11/2016,0,,,,,2,Inter,Pascopyrum smithii,,
459,6,Helianthus annuus,sp1,one,A06,Forb_comp,8/31/2016,0,,,,,2,Inter,Linum perenne,,
163,9,Poa secunda,sp1,one,A09,Monoculture,8/2/2016,0,,,,,2,Intra,Poa secunda,,
4,10,Linum lewisii,sp1,one,A10,Monoculture,7/27/2016,0,,,,,2,Intra,Linum lewisii,,
429,13,Helianthus annuus,sp1,one,A13,Monoculture,8/25/2016,0,,,,,2,Intra,Helianthus annuus,,
254,14,Pascopyrum smithii,sp1,one,A14,Monoculture,8/10/2016,0,,,,,2,Intra,Pascopyrum smithii,,
561,16,Pascopyrum smithii,sp1,one,A16,Grass_comp,,,,,,,,,Sporobolus airoides,,
257,25,Pascopyrum smithii,sp1,one,C05,Monoculture,8/10/2016,0,,,,,2,Intra,Pascopyrum smithii,,
14,27,Machaeranthera canescens,sp1,one,C07,Monoculture,7/27/2016,0,,,,,2,Intra,Machaeranthera canescens,,
16,30,Achillea millefolium,sp1,one,C10,Monoculture,7/27/2016,0,,,,,2,Intra,Achillea millefolium,,
563,32,Helianthus annuus,sp1,one,C12,Forb_comp,,,,,,,,,Sporobolus airoides,,
565,36,Helianthus annuus,sp1,one,C16,Forb_comp,,,,,,,,,Sporobolus airoides,,
346,40,Pascopyrum smithii,sp1,one,C20,Grass_comp,8/11/2016,0,,,,,2,Inter,Poa secunda,,
261,44,Elymus trachycaulus,sp1,one,E04,Monoculture,8/10/2016,0,,,,,2,Intra,Elymus trachycaulus,,
567,45,Elymus trachycaulus,sp1,one,E05,Grass_comp,,,,,,,,,Pascopyrum smithii,,
569,47,Pascopyrum smithii,sp1,one,E07,Grass_comp,,,,,,,,,Sporobolus airoides,,
571,51,Pascopyrum smithii,sp1,one,E11,Grass_comp,,,,,,,,,Sporobolus airoides,,
573,53,Achillea millefolium,sp1,one,E13,Forb_comp,,,,,,,,,Helianthus annuus,,
575,55,Linum lewisii,sp1,one,E15,Grass_comp,,,,,,,,,Pascopyrum smithii,,
577,57,Machaeranthera canescens,sp1,one,E17,Grass_comp,,,,,,,,,Pascopyrum smithii,,
579,59,Machaeranthera canescens,sp1,one,E19,Grass_comp,,,,,,,,,Pascopyrum smithii,,
28,60,Achillea millefolium,sp1,one,E20,Monoculture,7/27/2016,0,,,,,2,Intra,Achillea millefolium,,
30,63,Machaeranthera canescens,sp1,one,G03,Monoculture,7/27/2016,0,,,,,2,Intra,Machaeranthera canescens,,
581,64,Elymus trachycaulus,sp1,one,G04,Forb_comp,,,,,,,,,Helianthus annuus,,
463,65,Helianthus annuus,sp1,one,G05,Forb_comp,8/31/2016,0,,,,,2,Inter,Poa secunda,,
348,67,Achillea millefolium,sp1,one,G07,Grass_comp,8/11/2016,0,,,,,2,Inter,Pascopyrum smithii,,
350,68,Pascopyrum smithii,sp1,one,G08,Grass_comp,8/11/2016,0,,,,,2,Inter,Poa secunda,,
583,69,Elymus trachycaulus,sp1,one,G09,Forb_comp,,,,,,,,,Helianthus annuus,,
535,70,Helianthus annuus,sp1,one,G10,Forb_comp,9/8/2016,0,,,,,2,Inter,Linum lewisii,,
585,72,Helianthus annuus,sp1,one,G12,Forb_comp,,,,,,,,,Machaeranthera canescens,,
354,74,Linum perenne,sp1,one,G14,Grass_comp,8/11/2016,0,,,,,2,Inter,Pascopyrum smithii,,
587,79,Achillea millefolium,sp1,one,G19,Forb_comp,,,,,,,,,Helianthus annuus,,
465,80,Helianthus annuus,sp1,one,G20,Forb_comp,8/31/2016,0,,,,,2,Inter,Poa secunda,,
263,81,Elymus trachycaulus,sp1,one,I01,Monoculture,8/10/2016,0,,,,,2,Intra,Elymus trachycaulus,,
589,82,Linum lewisii,sp1,one,I02,Grass_comp,,,,,,,,,Pascopyrum smithii,,
591,84,Helianthus annuus,sp1,one,I04,Forb_comp,,,,,,,,,Machaeranthera canescens,,
537,85,Helianthus annuus,sp1,one,I05,Forb_comp,9/8/2016,0,,,,,2,Inter,Linum lewisii,,
593,86,Achillea millefolium,sp1,one,I06,Forb_comp,,,,,,,,,Helianthus annuus,,
358,88,Linum perenne,sp1,one,I08,Grass_comp,8/11/2016,0,,,,,2,Inter,Pascopyrum smithii,,
362,95,Elymus trachycaulus,sp1,one,I15,Grass_comp,8/11/2016,0,,,,,2,Inter,Pascopyrum smithii,,
165,100,Poa secunda,sp1,one,I20,Monoculture,8/2/2016,0,,,,,2,Intra,Poa secunda,,
595,104,Elymus trachycaulus,sp1,two,A04,Forb_comp,,,,,,,,,Helianthus annuus,,
36,109,Achillea millefolium,sp1,two,A09,Monoculture,7/27/2016,0,,,,,2,Intra,Achillea millefolium,,
364,112,Pascopyrum smithii,sp1,two,A12,Grass_comp,8/11/2016,0,,,,,2,Inter,Poa secunda,,
43,124,Achillea millefolium,sp1,two,C04,Monoculture,7/27/2016,0,,,,,2,Intra,Achillea millefolium,,
598,125,Achillea millefolium,sp1,two,C05,Forb_comp,,,,,,,,,Helianthus annuus,,
600,126,Linum lewisii,sp1,two,C06,Grass_comp,,,,,,,,,Pascopyrum smithii,,
45,128,Linum perenne,sp1,two,C08,Monoculture,7/27/2016,0,,,,,2,Intra,Linum perenne,,
368,131,Elymus trachycaulus,sp1,two,C11,Grass_comp,8/11/2016,0,,,,,2,Inter,Pascopyrum smithii,,
48,136,Achillea millefolium,sp1,two,C16,Monoculture,7/27/2016,0,,,,,2,Intra,Achillea millefolium,,
270,137,Pascopyrum smithii,sp1,two,C17,Monoculture,8/10/2016,0,,,,,2,Intra,Pascopyrum smithii,,
602,139,Elymus trachycaulus,sp1,two,C19,Forb_comp,,,,,,,,,Helianthus annuus,,
604,142,Helianthus annuus,sp1,two,E02,Forb_comp,,,,,,,,,Sporobolus airoides,,
372,147,Pascopyrum smithii,sp1,two,E07,Grass_comp,8/11/2016,0,,,,,2,Inter,Poa secunda,,
57,149,Linum lewisii,sp1,two,E09,Monoculture,7/27/2016,0,,,,,2,Intra,Linum lewisii,,
374,150,Achillea millefolium,sp1,two,E10,Grass_comp,8/11/2016,0,,,,,2,Inter,Pascopyrum smithii,,
168,151,Poa secunda,sp1,two,E11,Monoculture,8/2/2016,0,,,,,2,Intra,Poa secunda,,
376,155,Linum perenne,sp1,two,E15,Grass_comp,8/11/2016,0,,,,,2,Inter,Pascopyrum smithii,,
606,157,Achillea millefolium,sp1,two,E17,Forb_comp,,,,,,,,,Helianthus annuus,,
608,158,Helianthus annuus,sp1,two,E18,Forb_comp,,,,,,,,,Machaeranthera canescens,,
610,161,Helianthus annuus,sp1,two,G01,Forb_comp,,,,,,,,,Sporobolus airoides,,
612,162,Linum lewisii,sp1,two,G02,Grass_comp,,,,,,,,,Pascopyrum smithii,,
61,163,Machaeranthera canescens,sp1,two,G03,Monoculture,7/27/2016,0,,,,,2,Intra,Machaeranthera canescens,,
380,164,Achillea millefolium,sp1,two,G04,Grass_comp,8/11/2016,0,,,,,2,Inter,Pascopyrum smithii,,
614,167,Pascopyrum smithii,sp1,two,G07,Grass_comp,,,,,,,,,Sporobolus airoides,,
170,172,Machaeranthera canescens,sp1,two,G12,Monoculture,8/2/2016,0,,,,,2,Intra,Machaeranthera canescens,,
274,173,Elymus trachycaulus,sp1,two,G13,Monoculture,8/10/2016,0,,,,,2,Intra,Elymus trachycaulus,,
616,176,Helianthus annuus,sp1,two,G16,Forb_comp,,,,,,,,,Machaeranthera canescens,,
426,178,Helianthus annuus,sp1,two,G18,Forb_comp,8/21/2016,0,,,,,2,Inter,Linum perenne,,
67,186,Achillea millefolium,sp1,two,I06,Monoculture,7/27/2016,0,,,,,2,Intra,Achillea millefolium,,
618,192,Achillea millefolium,sp1,two,I12,Forb_comp,,,,,,,,,Helianthus annuus,,
276,194,Elymus trachycaulus,sp1,two,I14,Monoculture,8/10/2016,0,,,,,2,Intra,Elymus trachycaulus,,
620,195,Pascopyrum smithii,sp1,two,I15,Grass_comp,,,,,,,,,Sporobolus airoides,,
173,197,Poa secunda,sp1,two,I17,Monoculture,8/2/2016,0,,,,,2,Intra,Poa secunda,,
622,198,Machaeranthera canescens,sp1,two,I18,Grass_comp,,,,,,,,,Pascopyrum smithii,,
175,199,Machaeranthera canescens,sp1,two,I19,Monoculture,8/2/2016,0,,,,,2,Intra,Machaeranthera canescens,,
624,200,Machaeranthera canescens,sp1,two,I20,Grass_comp,,,,,,,,,Pascopyrum smithii,,
626,205,Achillea millefolium,sp1,three,A05,Forb_comp,,,,,,,,,Helianthus annuus,,
628,207,Helianthus annuus,sp1,three,A07,Forb_comp,,,,,,,,,Sporobolus airoides,,
630,210,Pascopyrum smithii,sp1,three,A10,Grass_comp,,,,,,,,,Sporobolus airoides,,
632,211,Helianthus annuus,sp1,three,A11,Forb_comp,,,,,,,,,Machaeranthera canescens,,
75,213,Linum lewisii,sp1,three,A13,Monoculture,7/27/2016,0,,,,,2,Intra,Linum lewisii,,
634,214,Elymus trachycaulus,sp1,three,A14,Forb_comp,,,,,,,,,Helianthus annuus,,
177,219,Poa secunda,sp1,three,A19,Monoculture,8/2/2016,0,,,,,2,Intra,Poa secunda,,
636,222,Elymus trachycaulus,sp1,three,C02,Forb_comp,,,,,,,,,Helianthus annuus,,
77,223,Linum lewisii,sp1,three,C03,Monoculture,7/27/2016,0,,,,,2,Intra,Linum lewisii,,
476,224,Machaeranthera canescens,sp1,three,C04,Monoculture,8/31/2016,0,,,,,2,Intra,Machaeranthera canescens,,
386,225,Achillea millefolium,sp1,three,C05,Grass_comp,8/11/2016,0,,,,,2,Inter,Pascopyrum smithii,,
638,226,Pascopyrum smithii,sp1,three,C06,Grass_comp,,,,,,,,,Sporobolus airoides,,
640,229,Helianthus annuus,sp1,three,C09,Forb_comp,,,,,,,,,Sporobolus airoides,,
642,237,Achillea millefolium,sp1,three,C17,Forb_comp,,,,,,,,,Helianthus annuus,,
644,244,Machaeranthera canescens,sp1,three,E04,Grass_comp,,,,,,,,,Pascopyrum smithii,,
646,246,Machaeranthera canescens,sp1,three,E06,Grass_comp,,,,,,,,,Pascopyrum smithii,,
179,247,Poa secunda,sp1,three,E07,Monoculture,8/2/2016,0,,,,,2,Intra,Poa secunda,,
648,250,Achillea millefolium,sp1,three,E10,Forb_comp,,,,,,,,,Helianthus annuus,,
650,253,Helianthus annuus,sp1,three,E13,Forb_comp,,,,,,,,,Machaeranthera canescens,,
652,259,Machaeranthera canescens,sp1,three,E19,Grass_comp,,,,,,,,,Pascopyrum smithii,,
654,260,Helianthus annuus,sp1,three,E20,Forb_comp,,,,,,,,,Machaeranthera canescens,,
85,261,Linum lewisii,sp1,three,G01,Monoculture,7/27/2016,0,,,,,2,Intra,Linum lewisii,,
