No,Tube_No,Species_one,Species_two,Block,Location,Treatment,Planting_date,Surv_final,sp1_Abovgd_mass,Community_root_mass,sp1_Total_Mass,Comm_RMF,No_of_Plants,"Control, Intra, Inter",Species_two,sp2_Abovgd_mass,sp2_Total_Mass
484,262,Helianthus annuus,sp1,three,G02,Forb_comp,8/31/2016,0,,,,,2,Inter,Poa secunda,,
656,268,Helianthus annuus,sp1,three,G08,Forb_comp,,,,,,,,,Machaeranthera canescens,,
658,269,Elymus trachycaulus,sp1,three,G09,Forb_comp,,,,,,,,,Helianthus annuus,,
93,270,Helianthus annuus,sp1,three,G10,Forb_comp,7/27/2016,0,,,,,2,Inter,Linum lewisii,,
95,272,Achillea millefolium,sp1,three,G12,Monoculture,7/27/2016,0,,,,,2,Intra,Achillea millefolium,,
286,277,Linum lewisii,sp1,three,G17,Grass_comp,8/10/2016,0,,,,,2,Inter,Pascopyrum smithii,,
660,280,Linum lewisii,sp1,three,G20,Grass_comp,,,,,,,,,Pascopyrum smithii,,
488,281,Machaeranthera canescens,sp1,three,I01,Monoculture,8/31/2016,0,,,,,2,Intra,Machaeranthera canescens,,
101,291,Achillea millefolium,sp1,three,I11,Monoculture,7/27/2016,0,,,,,2,Intra,Achillea millefolium,,
490,292,Machaeranthera canescens,sp1,three,I12,Monoculture,8/31/2016,0,,,,,2,Intra,Machaeranthera canescens,,
492,294,Helianthus annuus,sp1,three,I14,Forb_comp,8/31/2016,0,,,,,2,Inter,Poa secunda,,
398,295,Elymus trachycaulus,sp1,three,I15,Grass_comp,8/11/2016,0,,,,,2,Inter,Pascopyrum smithii,,
662,297,Linum lewisii,sp1,three,I17,Grass_comp,,,,,,,,,Pascopyrum smithii,,
665,304,Pascopyrum smithii,sp1,four,A04,Grass_comp,,,,,,,,,Sporobolus airoides,,
494,305,Helianthus annuus,sp1,four,A05,Forb_comp,8/31/2016,0,,,,,2,Inter,Linum perenne,,
667,306,Helianthus annuus,sp1,four,A06,Forb_comp,,,,,,,,,Machaeranthera canescens,,
496,309,Helianthus annuus,sp1,four,A09,Forb_comp,8/31/2016,0,,,,,2,Inter,Linum perenne,,
104,310,Linum perenne,sp1,four,A10,Monoculture,7/27/2016,0,,,,,2,Intra,Linum perenne,,
549,312,Helianthus annuus,sp1,four,A12,Forb_comp,9/8/2016,0,,,,,2,Inter,Linum lewisii,,
400,313,Elymus trachycaulus,sp1,four,A13,Grass_comp,8/11/2016,0,,,,,2,Inter,Pascopyrum smithii,,
402,314,Achillea millefolium,sp1,four,A14,Grass_comp,8/11/2016,0,,,,,2,Inter,Pascopyrum smithii,,
498,315,Helianthus annuus,sp1,four,A15,Forb_comp,8/31/2016,0,,,,,2,Inter,Poa secunda,,
551,316,Helianthus annuus,sp1,four,A16,Forb_comp,9/8/2016,0,,,,,2,Inter,Linum lewisii,,
185,317,Linum lewisii,sp1,four,A17,Monoculture,8/2/2016,0,,,,,2,Intra,Linum lewisii,,
669,318,Linum lewisii,sp1,four,A18,Grass_comp,,,,,,,,,Pascopyrum smithii,,
187,323,Linum lewisii,sp1,four,C03,Monoculture,8/2/2016,0,,,,,2,Intra,Linum lewisii,,
671,325,Helianthus annuus,sp1,four,C05,Forb_comp,,,,,,,,,Sporobolus airoides,,
189,326,Poa secunda,sp1,four,C06,Monoculture,8/2/2016,0,,,,,2,Intra,Poa secunda,,
292,327,Pascopyrum smithii,sp1,four,C07,Monoculture,8/10/2016,0,,,,,2,Intra,Pascopyrum smithii,,
191,328,Poa secunda,sp1,four,C08,Monoculture,8/2/2016,0,,,,,2,Intra,Poa secunda,,
107,329,Linum perenne,sp1,four,C09,Monoculture,7/27/2016,0,,,,,2,Intra,Linum perenne,,
404,331,Elymus trachycaulus,sp1,four,C11,Grass_comp,8/11/2016,0,,,,,2,Inter,Pascopyrum smithii,,
673,333,Linum lewisii,sp1,four,C13,Grass_comp,,,,,,,,,Pascopyrum smithii,,
500,335,Helianthus annuus,sp1,four,C15,Forb_comp,8/31/2016,0,,,,,2,Inter,Poa secunda,,
675,336,Machaeranthera canescens,sp1,four,C16,Grass_comp,,,,,,,,,Pascopyrum smithii,,
295,339,Pascopyrum smithii,sp1,four,C19,Monoculture,8/10/2016,0,,,,,2,Intra,Pascopyrum smithii,,
677,340,Elymus trachycaulus,sp1,four,C20,Forb_comp,,,,,,,,,Helianthus annuus,,
193,342,Poa secunda,sp1,four,E02,Monoculture,8/2/2016,0,,,,,2,Intra,Poa secunda,,
109,344,Achillea millefolium,sp1,four,E04,Monoculture,7/27/2016,0,,,,,2,Intra,Achillea millefolium,,
298,345,Elymus trachycaulus,sp1,four,E05,Monoculture,8/10/2016,0,,,,,2,Intra,Elymus trachycaulus,,
408,347,Pascopyrum smithii,sp1,four,E07,Grass_comp,8/11/2016,0,,,,,,,Poa secunda,,
502,348,Machaeranthera canescens,sp1,four,E08,Monoculture,8/31/2016,0,,,,,2,Intra,Machaeranthera canescens,,
679,349,Helianthus annuus,sp1,four,E09,Forb_comp,,,,,,,,,Sporobolus airoides,,
681,350,Machaeranthera canescens,sp1,four,E10,Grass_comp,,,,,,,2,Inter,Pascopyrum smithii,,
410,355,Pascopyrum smithii,sp1,four,E15,Grass_comp,8/11/2016,0,,,,,2,Inter,Poa secunda,,
683,357,Achillea millefolium,sp1,four,E17,Forb_comp,,,,,,,,,Helianthus annuus,,
685,358,Elymus trachycaulus,sp1,four,E18,Grass_comp,,,,,,,,,Pascopyrum smithii,,
504,362,Machaeranthera canescens,sp1,four,G02,Monoculture,8/31/2016,0,,,,,2,Intra,Machaeranthera canescens,,
687,363,Elymus trachycaulus,sp1,four,G03,Grass_comp,,,,,,,,,Pascopyrum smithii,,
300,365,Elymus trachycaulus,sp1,four,G05,Monoculture,8/10/2016,0,,,,,2,Intra,Elymus trachycaulus,,
689,367,Elymus trachycaulus,sp1,four,G07,Forb_comp,,,,,,,,,Helianthus annuus,,
691,371,Machaeranthera canescens,sp1,four,G11,Grass_comp,,,,,,,,,Pascopyrum smithii,,
693,373,Linum lewisii,sp1,four,G13,Grass_comp,,,,,,,,,Pascopyrum smithii,,
695,374,Helianthus annuus,sp1,four,G14,Forb_comp,,,,,,,,,Machaeranthera canescens,,
303,375,Elymus trachycaulus,sp1,four,G15,Monoculture,8/10/2016,0,,,,,2,Intra,Elymus trachycaulus,,
697,376,Machaeranthera canescens,sp1,four,G16,Grass_comp,,,,,,,,,Pascopyrum smithii,,
699,381,Helianthus annuus,sp1,four,I01,Forb_comp,,,,,,,,,Machaeranthera canescens,,
701,383,Pascopyrum smithii,sp1,four,I03,Grass_comp,,,,,,,,,Sporobolus airoides,,
703,384,Pascopyrum smithii,sp1,four,I04,Grass_comp,,,,,,,,,Sporobolus airoides,,
506,386,Machaeranthera canescens,sp1,four,I06,Monoculture,8/31/2016,0,,,,,2,Intra,Machaeranthera canescens,,
705,387,Helianthus annuus,sp1,four,I07,Forb_comp,,,,,,,,,Sporobolus airoides,,
707,389,Helianthus annuus,sp1,four,I09,Forb_comp,,,,,,,,,Linum lewisii,,
709,390,Linum lewisii,sp1,four,I10,Grass_comp,,,,,,,,,Pascopyrum smithii,,
121,393,Achillea millefolium,sp1,four,I13,Monoculture,7/27/2016,0,,,,,2,Intra,Achillea millefolium,,
711,394,Elymus trachycaulus,sp1,four,I14,Forb_comp,,,,,,,,,Helianthus annuus,,
508,396,Helianthus annuus,sp1,four,I16,Forb_comp,8/31/2016,0,,,,,2,Inter,Poa secunda,,
713,398,Achillea millefolium,sp1,four,I18,Forb_comp,,,,,,,,,Helianthus annuus,,
715,400,Pascopyrum smithii,sp1,four,I20,Grass_comp,,,,,,,,,Poa secunda,,
717,406,Linum lewisii,sp1,five,A06,Grass_comp,,,,,,,,,Pascopyrum smithii,,
200,407,Machaeranthera canescens,sp1,five,A07,Monoculture,8/2/2016,0,,,,,2,Intra,Machaeranthera canescens,,
126,408,Linum perenne,sp1,five,A08,Monoculture,7/27/2016,0,,,,,2,Intra,Linum perenne,,
129,411,Linum perenne,sp1,five,A11,Monoculture,7/27/2016,0,,,,,2,Intra,Linum perenne,,
719,413,Pascopyrum smithii,sp1,five,A13,Grass_comp,,,,,,,,,Sporobolus airoides,,
203,414,Linum lewisii,sp1,five,A14,Monoculture,8/2/2016,0,,,,,2,Intra,Linum lewisii,,
511,415,Helianthus annuus,sp1,five,A15,Forb_comp,8/31/2016,0,,,,,2,Inter,Linum perenne,,
205,416,Poa secunda,sp1,five,A16,Monoculture,8/2/2016,0,,,,,2,Intra,Poa secunda,,
306,418,Elymus trachycaulus,sp1,five,A18,Monoculture,8/10/2016,0,,,,,2,Intra,Elymus trachycaulus,,
722,424,Pascopyrum smithii,sp1,five,C04,Grass_comp,,,,,,,,,Sporobolus airoides,,
131,425,Linum perenne,sp1,five,C05,Monoculture,7/27/2016,0,,,,,2,Intra,Linum perenne,,
724,426,Linum lewisii,sp1,five,C06,Grass_comp,,,,,,,,,Pascopyrum smithii,,
726,428,Achillea millefolium,sp1,five,C08,Grass_comp,,,,,,,,,Pascopyrum smithii,,
728,431,Helianthus annuus,sp1,five,C11,Monoculture,,,,,,,,,Helianthus annuus,,
730,432,Helianthus annuus,sp1,five,C12,Forb_comp,,,,,,,,,Sporobolus airoides,,
732,433,Pascopyrum smithii,sp1,five,C13,Grass_comp,,,,,,,,,Sporobolus airoides,,
734,434,Elymus trachycaulus,sp1,five,C14,Forb_comp,,,,,,,,,Helianthus annuus,,
207,435,Poa secunda,sp1,five,C15,Monoculture,8/2/2016,0,,,,,2,Intra,Poa secunda,,
737,437,Pascopyrum smithii,sp1,five,C17,Grass_comp,,,,,,,,,Poa secunda,,
553,439,Helianthus annuus,sp1,five,C19,Forb_comp,9/8/2016,0,,,,,2,Inter,Linum lewisii,,
136,441,Achillea millefolium,sp1,five,E01,Monoculture,7/27/2016,0,,,,,2,Intra,Achillea millefolium,,
513,442,Helianthus annuus,sp1,five,E02,Forb_comp,8/31/2016,0,,,,,2,Inter,Poa secunda,,
309,443,Elymus trachycaulus,sp1,five,E03,Grass_comp,8/10/2016,0,,,,,2,Inter,Pascopyrum smithii,,
515,445,Helianthus annuus,sp1,five,E05,Forb_comp,8/31/2016,0,,,,,2,Inter,Poa secunda,,
740,448,Achillea millefolium,sp1,five,E08,Forb_comp,,,,,,,,,Helianthus annuus,,
743,451,Helianthus annuus,sp1,five,E11,Forb_comp,,,,,,,,,Machaeranthera canescens,,
141,453,Sporobolus airoides,sp1,five,E13,Monoculture,7/27/2016,0,,,,,2,Intra,Sporobolus airoides,,
745,454,Machaeranthera canescens,sp1,five,E14,Grass_comp,,,,,,,,,Pascopyrum smithii,,
212,459,Machaeranthera canescens,sp1,five,E19,Monoculture,8/2/2016,0,,,,,2,Intra,Machaeranthera canescens,,
214,460,Poa secunda,sp1,five,E20,Monoculture,8/2/2016,0,,,,,2,Intra,Poa secunda,,
747,461,Achillea millefolium,sp1,five,G01,Forb_comp,,,,,,,,,Helianthus annuus,,
749,463,Helianthus annuus,sp1,five,G03,Monoculture,,,,,,,,,Helianthus annuus,,
216,464,Linum lewisii,sp1,five,G04,Monoculture,8/2/2016,0,,,,,2,Intra,Linum lewisii,,
751,465,Elymus trachycaulus,sp1,five,G05,Forb_comp,,,,,,,,,Helianthus annuus,,
753,469,Pascopyrum smithii,sp1,five,G09,Grass_comp,,,,,,,,,Poa secunda,,
517,470,Helianthus annuus,sp1,five,G10,Forb_comp,8/31/2016,0,,,,,2,Inter,Poa secunda,,
755,474,Elymus trachycaulus,sp1,five,G14,Forb_comp,,,,,,,,,Helianthus annuus,,
757,475,Helianthus annuus,sp1,five,G15,Forb_comp,,,,,,,,,Machaeranthera canescens,,
759,477,Helianthus annuus,sp1,five,G17,Forb_comp,,,,,,,,,Sporobolus airoides,,
313,479,Pascopyrum smithii,sp1,five,G19,Monoculture,8/10/2016,0,,,,,2,Intra,Pascopyrum smithii,,
761,480,Machaeranthera canescens,sp1,five,G20,Grass_comp,,,,,,,,,Pascopyrum smithii,,
555,483,Helianthus annuus,sp1,five,I03,Forb_comp,9/8/2016,0,,,,,2,Inter,Linum lewisii,,
763,484,Helianthus annuus,sp1,five,I04,Forb_comp,,,,,,,,,Sporobolus airoides,,
315,485,Pascopyrum smithii,sp1,five,I05,Monoculture,8/10/2016,0,,,,,2,Intra,Pascopyrum smithii,,
765,486,Elymus trachycaulus,sp1,five,I06,Grass_comp,,,,,,,,,Pascopyrum smithii,,
146,489,Sporobolus airoides,sp1,five,I09,Monoculture,7/27/2016,0,,,,,2,Intra,Sporobolus airoides,,
318,490,Elymus trachycaulus,sp1,five,I10,Monoculture,8/10/2016,0,,,,,2,Intra,Elymus trachycaulus,,
320,492,Elymus trachycaulus,sp1,five,I12,Monoculture,8/10/2016,0,,,,,2,Intra,Elymus trachycaulus,,
767,493,Elymus trachycaulus,sp1,five,I13,Grass_comp,,,,,,,,,Pascopyrum smithii,,
322,494,Pascopyrum smithii,sp1,five,I14,Monoculture,8/10/2016,0,,,,,2,Intra,Pascopyrum smithii,,
770,497,Pascopyrum smithii,sp1,five,I17,Grass_comp,,,,,,,,,Poa secunda,,
223,498,Machaeranthera canescens,sp1,five,I18,Monoculture,8/2/2016,0,,,,,2,Intra,Machaeranthera canescens,,
225,499,Poa secunda,sp1,five,I19,Monoculture,8/2/2016,0,,,,,2,Intra,Poa secunda,,
772,500,Achillea millefolium,sp1,five,I20,Grass_comp,,,,,,,,,Pascopyrum smithii,,
229,503,Machaeranthera canescens,sp1,six,A03,Monoculture,8/2/2016,0,,,,,2,Intra,Machaeranthera canescens,,
774,504,Pascopyrum smithii,sp1,six,A04,Grass_comp,,,,,,,,,Sporobolus airoides,,
776,505,Elymus trachycaulus,sp1,six,A05,Forb_comp,,,,,,,,,Helianthus annuus,,
778,508,Pascopyrum smithii,sp1,six,A08,Grass_comp,,,,,,,,,Poa secunda,,
780,512,Machaeranthera canescens,sp1,six,A12,Grass_comp,,,,,,,,,Pascopyrum smithii,,
324,515,Elymus trachycaulus,sp1,six,A15,Monoculture,8/10/2016,0,,,,,2,Intra,Elymus trachycaulus,,
782,516,Linum perenne,sp1,six,A16,Grass_comp,,,,,,,,,Pascopyrum smithii,,
523,518,Helianthus annuus,sp1,six,A18,Forb_comp,8/31/2016,0,,,,,2,Inter,Linum perenne,,
231,519,Linum lewisii,sp1,six,A19,Monoculture,8/2/2016,0,,,,,2,Intra,Linum lewisii,,
784,521,Sporobolus airoides,sp1,six,C01,Monoculture,,,,,,,,,Sporobolus airoides,,
786,522,Linum lewisii,sp1,six,C02,Grass_comp,,,,,,,,,Pascopyrum smithii,,
788,523,Helianthus annuus,sp1,six,C03,Forb_comp,,,,,,,,,Sporobolus airoides,,
525,525,Helianthus annuus,sp1,six,C05,Forb_comp,8/31/2016,0,,,,,2,Inter,Linum perenne,,
790,528,Helianthus annuus,sp1,six,C08,Forb_comp,,,,,,,,,Sporobolus airoides,,
527,529,Helianthus annuus,sp1,six,C09,Forb_comp,8/31/2016,0,,,,,2,Inter,Poa secunda,,
235,531,Machaeranthera canescens,sp1,six,C11,Monoculture,8/2/2016,0,,,,,2,Intra,Machaeranthera canescens,,
152,533,Linum perenne,sp1,six,C13,Monoculture,7/27/2016,0,,,,,2,Intra,Linum perenne,,
792,536,Helianthus annuus,sp1,six,C16,Monoculture,,,,,,,,,Helianthus annuus,,
794,540,Linum lewisii,sp1,six,C20,Grass_comp,,,,,,,,,Pascopyrum smithii,,
329,545,Pascopyrum smithii,sp1,six,E05,Monoculture,8/10/2016,0,,,,,2,Intra,Pascopyrum smithii,,
331,546,Pascopyrum smithii,sp1,six,E06,Monoculture,8/10/2016,0,,,,,2,Intra,Pascopyrum smithii,,
557,548,Helianthus annuus,sp1,six,E08,Forb_comp,9/8/2016,0,,,,,2,Inter,Linum lewisii,,
797,549,Achillea millefolium,sp1,six,E09,Forb_comp,,,,,,,,,Helianthus annuus,,
333,550,Elymus trachycaulus,sp1,six,E10,Monoculture,8/10/2016,0,,,,,2,Intra,Elymus trachycaulus,,
799,552,Pascopyrum smithii,sp1,six,E12,Grass_comp,,,,,,,,,Sporobolus airoides,,
420,554,Linum perenne,sp1,six,E14,Grass_comp,8/11/2016,0,,,,,2,Inter,Pascopyrum smithii,,
801,555,Elymus trachycaulus,sp1,six,E15,Grass_comp,,,,,,,,,Pascopyrum smithii,,
803,559,Achillea millefolium,sp1,six,E19,Grass_comp,,,,,,,,,Pascopyrum smithii,,
531,562,Helianthus annuus,sp1,six,G02,Forb_comp,8/31/2016,0,,,,,2,Inter,Poa secunda,,
805,563,Helianthus annuus,sp1,six,G03,Forb_comp,,,,,,,,,Machaeranthera canescens,,
807,564,Helianthus annuus,sp1,six,G04,Forb_comp,,,,,,,,,Machaeranthera canescens,,
809,565,Pascopyrum smithii,sp1,six,G05,Grass_comp,,,,,,,,,Poa secunda,,
811,566,Elymus trachycaulus,sp1,six,G06,Forb_comp,,,,,,,,,Helianthus annuus,,
813,567,Pascopyrum smithii,sp1,six,G07,Grass_comp,,,,,,,,,Sporobolus airoides,,
815,571,Elymus trachycaulus,sp1,six,G11,Forb_comp,,,,,,,,,Helianthus annuus,,
817,572,Helianthus annuus,sp1,six,G12,Monoculture,,,,,,,,,Helianthus annuus,,
239,573,Linum lewisii,sp1,six,G13,Monoculture,8/2/2016,0,,,,,2,Intra,Linum lewisii,,
819,574,Helianthus annuus,sp1,six,G14,Forb_comp,,,,,,,,,Sporobolus airoides,,
821,577,Achillea millefolium,sp1,six,G17,Grass_comp,,,,,,,,,Pascopyrum smithii,,
823,579,Elymus trachycaulus,sp1,six,G19,Grass_comp,,,,,,,,,Pascopyrum smithii,,
825,580,Machaeranthera canescens,sp1,six,G20,Grass_comp,,,,,,,,,Pascopyrum smithii,,
533,581,Helianthus annuus,sp1,six,I01,Forb_comp,8/31/2016,0,,,,,2,Inter,Linum perenne,,
827,582,Pascopyrum smithii,sp1,six,I02,Grass_comp,,,,,,,,,Poa secunda,,
242,586,Poa secunda,sp1,six,I06,Monoculture,8/2/2016,0,,,,,2,Intra,Poa secunda,,
246,590,Achillea millefolium,sp1,six,I10,Monoculture,8/2/2016,0,,,,,2,Intra,Achillea millefolium,,
248,591,Poa secunda,sp1,six,I11,Monoculture,8/2/2016,0,,,,,2,Intra,Poa secunda,,
830,592,Helianthus annuus,sp1,six,I12,Forb_comp,,,,,,,,,Sporobolus airoides,,
250,593,Poa secunda,sp1,six,I13,Monoculture,8/2/2016,0,,,,,2,Intra,Poa secunda,,
252,595,Achillea millefolium,sp1,six,I15,Monoculture,8/2/2016,0,,,,,2,Intra,Achillea millefolium,,
832,596,Achillea millefolium,sp1,six,I16,Forb_comp,,,,,,,,,Helianthus annuus,,
834,599,Elymus trachycaulus,sp1,six,I19,Grass_comp,,,,,,,,,Pascopyrum smithii,,
